Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-01-01,US,United States of America,AMRO,237016,19818860,3747,355846
2021-01-02,US,United States of America,AMRO,229449,20048309,3755,359601
2021-01-03,US,United States of America,AMRO,227363,20275672,3036,362637
2021-01-04,US,United States of America,AMRO,226346,20502018,2355,364992
2021-01-05,US,United States of America,AMRO,204222,20706240,2045,367037
2021-01-06,US,United States of America,AMRO,174928,20881168,2080,369117
2021-01-07,US,United States of America,AMRO,243474,21124642,3473,372590
2021-01-08,US,United States of America,AMRO,257751,21382393,3869,376459
2021-01-09,US,United States of America,AMRO,269618,21652011,3966,380425
2021-01-10,US,United States of America,AMRO,292681,21944692,3743,384168
2021-01-11,US,United States of America,AMRO,255633,22200325,3344,387512
2021-01-12,US,United States of America,AMRO,223877,22424202,2563,390075
2021-01-13,US,United States of America,AMRO,204157,22628359,2608,392683
2021-01-14,US,United States of America,AMRO,217822,22846181,3591,396274
2021-01-15,US,United States of America,AMRO,227079,23073260,4065,400339
2021-01-16,US,United States of America,AMRO,223092,23296352,3718,404057
2021-01-17,US,United States of America,AMRO,239292,23535644,3403,407460
2021-01-18,US,United States of America,AMRO,212674,23748318,3521,410981
2021-01-19,US,United States of America,AMRO,183911,23932229,2587,413568
2021-01-20,US,United States of America,AMRO,151480,24083709,2299,415867
2021-01-21,US,United States of America,AMRO,150221,24233930,2742,418609
2021-01-22,US,United States of America,AMRO,187766,24421696,3842,422451
2021-01-23,US,United States of America,AMRO,187768,24609464,3836,426287
2021-01-24,US,United States of America,AMRO,190175,24799639,3695,429982
2021-01-25,US,United States of America,AMRO,164384,24964023,2996,432978
2021-01-26,US,United States of America,AMRO,143934,25107957,2480,435458
2021-01-27,US,United States of America,AMRO,134131,25242088,2127,437585
2021-01-28,US,United States of America,AMRO,146456,25388544,3538,441123
2021-01-29,US,United States of America,AMRO,158880,25547424,3976,445099
2021-01-30,US,United States of America,AMRO,155944,25703368,3862,448961
2021-01-31,US,United States of America,AMRO,164318,25867686,3266,452227
2021-02-01,US,United States of America,AMRO,137082,26004768,2772,454999
2021-02-02,US,United States of America,AMRO,112246,26117014,2285,457284
2021-02-03,US,United States of America,AMRO,128925,26245939,2264,459548
2021-02-04,US,United States of America,AMRO,121586,26367525,2964,462512
2021-02-05,US,United States of America,AMRO,108772,26476297,3297,465809
2021-02-06,US,United States of America,AMRO,124640,26600937,3133,468942
2021-02-07,US,United States of America,AMRO,124475,26725412,3358,472300
2021-02-08,US,United States of America,AMRO,108429,26833841,2767,475067
2021-02-09,US,United States of America,AMRO,91684,26925525,1808,476875
2021-02-10,US,United States of America,AMRO,82322,27007847,1705,478580
2021-02-11,US,United States of America,AMRO,91344,27099191,2428,481008
2021-02-12,US,United States of America,AMRO,98840,27198031,2804,483812
2021-02-13,US,United States of America,AMRO,99046,27297077,3233,487045
2021-02-14,US,United States of America,AMRO,97458,27394535,5083,492128
2021-02-15,US,United States of America,AMRO,84608,27479143,3302,495430
2021-02-16,US,United States of America,AMRO,66379,27545522,1560,496990
2021-02-17,US,United States of America,AMRO,58299,27603821,1404,498394
2021-02-18,US,United States of America,AMRO,57404,27661225,1424,499818
2021-02-19,US,United States of America,AMRO,63803,27725028,2159,501977
2021-02-20,US,United States of America,AMRO,68311,27793339,2240,504217
2021-02-21,US,United States of America,AMRO,73443,27866782,2413,506630
2021-02-22,US,United States of America,AMRO,65959,27932741,1874,508504
2021-02-23,US,United States of America,AMRO,55485,27988226,1546,510050
2021-02-24,US,United States of America,AMRO,56439,28044665,1504,511554
2021-02-25,US,United States of America,AMRO,70310,28114975,1695,513249
2021-02-26,US,United States of America,AMRO,72490,28187465,1982,515231
2021-02-27,US,United States of America,AMRO,71635,28259100,2928,518159
2021-02-28,US,United States of America,AMRO,73309,28332409,1917,520076
2021-03-01,US,United States of America,AMRO,68375,28400784,1619,521695
2021-03-02,US,United States of America,AMRO,51961,28452745,1087,522782
2021-03-03,US,United States of America,AMRO,51375,28504120,1253,524035
2021-03-04,US,United States of America,AMRO,53938,28558058,1351,525386
2021-03-05,US,United States of America,AMRO,65820,28623878,1544,526930
2021-03-06,US,United States of America,AMRO,65228,28689106,1555,528485
2021-03-07,US,United States of America,AMRO,63924,28753030,1944,530429
2021-03-08,US,United States of America,AMRO,57400,28810430,1263,531692
2021-03-09,US,United States of America,AMRO,43490,28853920,905,532597
2021-03-10,US,United States of America,AMRO,43352,28897272,822,533419
2021-03-11,US,United States of America,AMRO,53806,28951078,1153,534572
2021-03-12,US,United States of America,AMRO,61763,29012841,1571,536143
2021-03-13,US,United States of America,AMRO,60103,29072944,1323,537466
2021-03-14,US,United States of America,AMRO,63987,29136931,1455,538921
2021-03-15,US,United States of America,AMRO,52101,29189032,968,539889
2021-03-16,US,United States of America,AMRO,47191,29236223,658,540547
2021-03-17,US,United States of America,AMRO,43681,29279904,696,541243
2021-03-18,US,United States of America,AMRO,51865,29331769,859,542102
2021-03-19,US,United States of America,AMRO,60345,29392114,1053,543155
2021-03-20,US,United States of America,AMRO,62655,29454769,838,543993
2021-03-21,US,United States of America,AMRO,61955,29516724,1180,545173
2021-03-22,US,United States of America,AMRO,58062,29574786,719,545892
2021-03-23,US,United States of America,AMRO,45135,29619921,550,546442
2021-03-24,US,United States of America,AMRO,48433,29668354,938,547380
2021-03-25,US,United States of America,AMRO,57889,29726243,749,548129
2021-03-26,US,United States of America,AMRO,68115,29794358,1124,549253
2021-03-27,US,United States of America,AMRO,65612,29859970,985,550238
2021-03-28,US,United States of America,AMRO,74950,29934920,1059,551297
2021-03-29,US,United States of America,AMRO,62687,29997607,847,552144
2021-03-30,US,United States of America,AMRO,53011,30050618,619,552763
2021-03-31,US,United States of America,AMRO,58307,30108925,549,553312
2021-04-01,US,United States of America,AMRO,61403,30170328,716,554028
2021-04-02,US,United States of America,AMRO,70374,30240702,956,554984
2021-04-03,US,United States of America,AMRO,73404,30314106,810,555794
2021-04-04,US,United States of America,AMRO,70452,30384558,839,556633
2021-04-05,US,United States of America,AMRO,63423,30447981,742,557375
2021-04-06,US,United States of America,AMRO,45478,30493459,521,557896
2021-04-07,US,United States of America,AMRO,56813,30550272,372,558268
2021-04-08,US,United States of America,AMRO,63773,30614045,722,558990
2021-04-09,US,United States of America,AMRO,75010,30689055,828,559818
2021-04-10,US,United States of America,AMRO,75056,30764111,860,560678
2021-04-11,US,United States of America,AMRO,76577,30840688,856,561534
2021-04-12,US,United States of America,AMRO,67643,30908331,747,562281
2021-04-13,US,United States of America,AMRO,53321,30961652,468,562749
2021-04-14,US,United States of America,AMRO,61175,31022827,539,563288
2021-04-15,US,United States of America,AMRO,71465,31094292,735,564023
2021-04-16,US,United States of America,AMRO,70774,31165066,797,564820
2021-04-17,US,United States of America,AMRO,71684,31236750,795,565615
2021-04-18,US,United States of America,AMRO,71090,31307840,802,566417
2021-04-19,US,United States of America,AMRO,76908,31384748,629,567046
2021-04-20,US,United States of America,AMRO,49012,31433760,496,567542
2021-04-21,US,United States of America,AMRO,35543,31469303,480,568022
2021-04-22,US,United States of America,AMRO,57355,31526658,731,568753
2021-04-23,US,United States of America,AMRO,63168,31589826,766,569519
2021-04-24,US,United States of America,AMRO,61447,31651273,783,570302
2021-04-25,US,United States of America,AMRO,62090,31713363,831,571133
2021-04-26,US,United States of America,AMRO,51587,31764950,661,571794
2021-04-27,US,United States of America,AMRO,40683,31805633,434,572228
2021-04-28,US,United States of America,AMRO,30592,31836225,470,572698
2021-04-29,US,United States of America,AMRO,50331,31886556,539,573237
2021-04-30,US,United States of America,AMRO,54473,31941029,837,574074
2021-05-01,US,United States of America,AMRO,55709,31996738,756,574830
2021-05-02,US,United States of America,AMRO,55028,32051766,794,575624
2021-05-03,US,United States of America,AMRO,48153,32099919,623,576247
2021-05-04,US,United States of America,AMRO,36446,32136365,502,576749
2021-05-05,US,United States of America,AMRO,33115,32169480,470,577219
2021-05-06,US,United States of America,AMRO,42631,32212111,679,577898
2021-05-07,US,United States of America,AMRO,44558,32256669,710,578608
2021-05-08,US,United States of America,AMRO,42775,32299444,667,579275
2021-05-09,US,United States of America,AMRO,44486,32343930,805,580080
2021-05-10,US,United States of America,AMRO,36783,32380713,608,580688
2021-05-11,US,United States of America,AMRO,27337,32408050,405,581093
2021-05-12,US,United States of America,AMRO,24650,32432700,405,581498
2021-05-13,US,United States of America,AMRO,33039,32465739,596,582094
2021-05-14,US,United States of America,AMRO,35806,32501545,691,582785
2021-05-15,US,United States of America,AMRO,40350,32541895,586,583371
2021-05-16,US,United States of America,AMRO,35311,32577206,688,584059
2021-05-17,US,United States of America,AMRO,29435,32606641,435,584494
2021-05-18,US,United States of America,AMRO,21367,32628008,438,584932
2021-05-19,US,United States of America,AMRO,19561,32647569,364,585296
2021-05-20,US,United States of America,AMRO,27754,32675323,603,585899
2021-05-21,US,United States of America,AMRO,27597,32702920,597,586496
2021-05-22,US,United States of America,AMRO,27752,32730672,527,587023
2021-05-23,US,United States of America,AMRO,27954,32758626,666,587689
2021-05-24,US,United States of America,AMRO,21977,32780603,395,588084
2021-05-25,US,United States of America,AMRO,15873,32796476,288,588372
2021-05-26,US,United States of America,AMRO,15340,32811816,566,588938
2021-05-27,US,United States of America,AMRO,24241,32836057,503,589441
2021-05-28,US,United States of America,AMRO,23514,32859571,520,589961
2021-05-29,US,United States of America,AMRO,22019,32881590,540,590501
2021-05-30,US,United States of America,AMRO,24698,32906288,703,591204
2021-05-31,US,United States of America,AMRO,15538,32921826,310,591514
2021-06-01,US,United States of America,AMRO,12271,32934097,254,591768
2021-06-02,US,United States of America,AMRO,9322,32943419,227,591995
2021-06-03,US,United States of America,AMRO,9062,32952481,336,592331
2021-06-04,US,United States of America,AMRO,16119,32968600,490,592821
2021-06-05,US,United States of America,AMRO,18154,32986754,473,593294
2021-06-06,US,United States of America,AMRO,18625,33005379,587,593881
2021-06-07,US,United States of America,AMRO,14604,33019983,394,594275
2021-06-08,US,United States of America,AMRO,11019,33031002,425,594700
2021-06-09,US,United States of America,AMRO,9991,33040993,321,595021
2021-06-10,US,United States of America,AMRO,14332,33055325,312,595333
2021-06-11,US,United States of America,AMRO,19659,33074984,390,595723
2021-06-12,US,United States of America,AMRO,15818,33090802,385,596108
2021-06-13,US,United States of America,AMRO,14011,33104813,401,596509
2021-06-14,US,United States of America,AMRO,12283,33117096,212,596721
2021-06-15,US,United States of America,AMRO,8719,33125815,149,596870
2021-06-16,US,United States of America,AMRO,8344,33134159,197,597067
2021-06-17,US,United States of America,AMRO,12761,33146920,308,597375
2021-06-18,US,United States of America,AMRO,13111,33160031,341,597716
2021-06-19,US,United States of America,AMRO,13434,33173465,278,597994
2021-06-20,US,United States of America,AMRO,11895,33185360,269,598263
2021-06-21,US,United States of America,AMRO,12312,33197672,253,598516
2021-06-22,US,United States of America,AMRO,9043,33206715,218,598734
2021-06-23,US,United States of America,AMRO,8712,33215427,273,599007
2021-06-24,US,United States of America,AMRO,13375,33228802,302,599309
2021-06-25,US,United States of America,AMRO,13808,33242610,336,599645
2021-06-26,US,United States of America,AMRO,15521,33258131,315,599960
2021-06-27,US,United States of America,AMRO,15037,33273168,404,600364
2021-06-28,US,United States of America,AMRO,13160,33286328,240,600604
2021-06-29,US,United States of America,AMRO,10605,33296933,172,600776
2021-06-30,US,United States of America,AMRO,10586,33307519,193,600969
2021-07-01,US,United States of America,AMRO,15642,33323161,275,601244
2021-07-02,US,United States of America,AMRO,11591,33334752,245,601489
2021-07-03,US,United States of America,AMRO,18546,33353298,289,601778
2021-07-04,US,United States of America,AMRO,16873,33370171,300,602078
2021-07-05,US,United States of America,AMRO,13112,33383283,153,602231
2021-07-06,US,United States of America,AMRO,10376,33393659,124,602355
2021-07-07,US,United States of America,AMRO,9279,33402938,106,602461
2021-07-08,US,United States of America,AMRO,20102,33423040,300,602761
2021-07-09,US,United States of America,AMRO,22657,33445697,253,603014
2021-07-10,US,United States of America,AMRO,183507,33629204,264,603278
2021-07-11,US,United States of America,AMRO,27608,33656812,311,603589
2021-07-12,US,United States of America,AMRO,20713,33677525,147,603736
2021-07-13,US,United States of America,AMRO,16606,33694131,119,603855
2021-07-14,US,United States of America,AMRO,29237,33723368,304,604159
2021-07-15,US,United States of America,AMRO,35044,33758412,336,604495
2021-07-16,US,United States of America,AMRO,38327,33796739,338,604833
2021-07-17,US,United States of America,AMRO,40561,33837300,321,605154
2021-07-18,US,United States of America,AMRO,42274,33879574,369,605523
2021-07-19,US,United States of America,AMRO,32099,33911673,179,605702
2021-07-20,US,United States of America,AMRO,28156,33939829,148,605850
2021-07-21,US,United States of America,AMRO,45337,33985166,286,606136
2021-07-22,US,United States of America,AMRO,50999,34036165,320,606456
2021-07-23,US,United States of America,AMRO,61303,34097468,397,606853
2021-07-24,US,United States of America,AMRO,71794,34169262,343,607196
2021-07-25,US,United States of America,AMRO,69670,34238932,414,607610
2021-07-26,US,United States of America,AMRO,53666,34292598,247,607857
2021-07-27,US,United States of America,AMRO,43252,34335850,249,608106
2021-07-28,US,United States of America,AMRO,71392,34407242,419,608525
2021-07-29,US,United States of America,AMRO,86060,34493302,497,609022
2021-07-30,US,United States of America,AMRO,89174,34582476,490,609512
2021-07-31,US,United States of America,AMRO,99455,34681931,499,610011
2021-08-01,US,United States of America,AMRO,104591,34786522,519,610530
2021-08-02,US,United States of America,AMRO,80562,34867084,395,610925
2021-08-03,US,United States of America,AMRO,61287,34928371,371,611296
2021-08-04,US,United States of America,AMRO,102479,35030850,656,611952
2021-08-05,US,United States of America,AMRO,110601,35141451,703,612655
2021-08-06,US,United States of America,AMRO,126883,35268334,742,613397
2021-08-07,US,United States of America,AMRO,127950,35396284,758,614155
2021-08-08,US,United States of America,AMRO,133879,35530163,837,614992
2021-08-09,US,United States of America,AMRO,120014,35650177,639,615631
2021-08-10,US,United States of America,AMRO,96766,35746943,528,616159
2021-08-11,US,United States of America,AMRO,93298,35840241,724,616883
2021-08-12,US,United States of America,AMRO,135778,35976019,958,617841
2021-08-13,US,United States of America,AMRO,143726,36119745,611,618452
2021-08-14,US,United States of America,AMRO,151074,36270819,987,619439
2021-08-15,US,United States of America,AMRO,146337,36417156,1196,620635
2021-08-16,US,United States of America,AMRO,139499,36556655,890,621525
2021-08-17,US,United States of America,AMRO,110783,36667438,680,622205
2021-08-18,US,United States of America,AMRO,109196,36776634,847,623052
2021-08-19,US,United States of America,AMRO,150765,36927399,1192,624244
2021-08-20,US,United States of America,AMRO,168380,37095779,1496,625740
2021-08-21,US,United States of America,AMRO,174418,37270197,1384,627124
2021-08-22,US,United States of America,AMRO,167363,37437560,1574,628698
2021-08-23,US,United States of America,AMRO,144303,37581863,1173,629871
2021-08-24,US,United States of America,AMRO,126967,37708830,906,630777
2021-08-25,US,United States of America,AMRO,116220,37825050,1184,631961
2021-08-26,US,United States of America,AMRO,162846,37987896,1660,633621
2021-08-27,US,United States of America,AMRO,176960,38164856,1650,635271
2021-08-28,US,United States of America,AMRO,186307,38351163,1785,637056
2021-08-29,US,United States of America,AMRO,182191,38533354,1837,638893
2021-08-30,US,United States of America,AMRO,152775,38686129,1470,640363
2021-08-31,US,United States of America,AMRO,118428,38804557,1193,641556
2021-09-01,US,United States of America,AMRO,133062,38937619,1215,642771
2021-09-02,US,United States of America,AMRO,176714,39114333,1795,644566
2021-09-03,US,United States of America,AMRO,198490,39312823,2015,646581
2021-09-04,US,United States of America,AMRO,183224,39496047,2029,648610
2021-09-05,US,United States of America,AMRO,181615,39677662,1966,650576
2021-09-06,US,United States of America,AMRO,144152,39821814,1501,652077
2021-09-07,US,United States of America,AMRO,125477,39947291,1335,653412
2021-09-08,US,United States of America,AMRO,109661,40056952,1075,654487
2021-09-09,US,United States of America,AMRO,117151,40174103,1533,656020
2021-09-10,US,United States of America,AMRO,170723,40344826,2122,658142
2021-09-11,US,United States of America,AMRO,184250,40529076,2239,660381
2021-09-12,US,United States of America,AMRO,171646,40700722,2294,662675
2021-09-13,US,United States of America,AMRO,156510,40857232,1757,664432
2021-09-14,US,United States of America,AMRO,116810,40974042,1158,665590
2021-09-15,US,United States of America,AMRO,112698,41086740,1317,666907
2021-09-16,US,United States of America,AMRO,162562,41249302,2436,669343
2021-09-17,US,United States of America,AMRO,163252,41412554,2484,671827
2021-09-18,US,United States of America,AMRO,167368,41579922,2106,673933
2021-09-19,US,United States of America,AMRO,157937,41737859,2335,676268
2021-09-20,US,United States of America,AMRO,125466,41863325,1618,677886
2021-09-21,US,United States of America,AMRO,97527,41960852,1222,679108
2021-09-22,US,United States of America,AMRO,92316,42053168,1330,680438
2021-09-23,US,United States of America,AMRO,133392,42186560,2338,682776
2021-09-24,US,United States of America,AMRO,132772,42319332,2359,685135
2021-09-25,US,United States of America,AMRO,137364,42456696,2067,687202
2021-09-26,US,United States of America,AMRO,133278,42589974,2463,689665
2021-09-27,US,United States of America,AMRO,98577,42688551,1464,691129
2021-09-28,US,United States of America,AMRO,77649,42766200,1048,692177
2021-09-29,US,United States of America,AMRO,101740,42867940,1909,694086
2021-09-30,US,United States of America,AMRO,115973,42983913,2150,696236
2021-10-01,US,United States of America,AMRO,116790,43100703,2257,698493
2021-10-02,US,United States of America,AMRO,123469,43224172,1963,700456
2021-10-03,US,United States of America,AMRO,121622,43345794,2198,702654
2021-10-04,US,United States of America,AMRO,83869,43429663,1321,703975
2021-10-05,US,United States of America,AMRO,68541,43498204,976,704951
2021-10-06,US,United States of America,AMRO,85955,43584159,1292,706243
2021-10-07,US,United States of America,AMRO,104294,43688453,2052,708295
2021-10-08,US,United States of America,AMRO,117188,43805641,2041,710336
2021-10-09,US,United States of America,AMRO,112995,43918636,1749,712085
2021-10-10,US,United States of America,AMRO,108200,44026836,2257,714342
2021-10-11,US,United States of America,AMRO,72237,44099073,1082,715424
2021-10-12,US,United States of America,AMRO,60093,44159166,1045,716469
2021-10-13,US,United States of America,AMRO,74159,44233325,956,717425
2021-10-14,US,United States of America,AMRO,89987,44323312,1937,719362
2021-10-15,US,United States of America,AMRO,96552,44419864,1839,721201
2021-10-16,US,United States of America,AMRO,96625,44516489,1561,722762
2021-10-17,US,United States of America,AMRO,91421,44607910,2033,724795
2021-10-18,US,United States of America,AMRO,64730,44672640,927,725722
2021-10-19,US,United States of America,AMRO,49377,44722017,730,726452
2021-10-20,US,United States of America,AMRO,69114,44791131,2271,728723
2021-10-21,US,United States of America,AMRO,80804,44871935,1845,730568
2021-10-22,US,United States of America,AMRO,76493,44948428,1833,732401
2021-10-23,US,United States of America,AMRO,87452,45035880,1528,733929
2021-10-24,US,United States of America,AMRO,80972,45116852,1957,735886
2021-10-25,US,United States of America,AMRO,36118,45152970,654,736540
2021-10-26,US,United States of America,AMRO,28062,45181032,347,736887
2021-10-27,US,United States of America,AMRO,84010,45265042,1038,737925
2021-10-28,US,United States of America,AMRO,102123,45367165,2038,739963
2021-10-29,US,United States of America,AMRO,84060,45451225,1773,741736
2021-10-30,US,United States of America,AMRO,103274,45554499,1272,743008
2021-10-31,US,United States of America,AMRO,88214,45642713,1794,744802
2021-11-01,US,United States of America,AMRO,34945,45677658,453,745255
2021-11-02,US,United States of America,AMRO,25348,45703006,302,745557
2021-11-03,US,United States of America,AMRO,117685,45820691,1191,746748
2021-11-04,US,United States of America,AMRO,74786,45895477,1446,748194
2021-11-05,US,United States of America,AMRO,78830,45974307,1193,749387
2021-11-06,US,United States of America,AMRO,88730,46063037,1203,750590
2021-11-07,US,United States of America,AMRO,89877,46152914,1608,752198
2021-11-08,US,United States of America,AMRO,35985,46188899,475,752673
2021-11-09,US,United States of America,AMRO,31521,46220420,256,752929
2021-11-10,US,United States of America,AMRO,116449,46336869,1166,754095
2021-11-11,US,United States of America,AMRO,82834,46419703,1588,755683
2021-11-12,US,United States of America,AMRO,93932,46513635,1342,757025
2021-11-13,US,United States of America,AMRO,73532,46587167,964,757989
2021-11-14,US,United States of America,AMRO,122832,46709999,1741,759730
2021-11-15,US,United States of America,AMRO,69273,46779272,544,760274
2021-11-16,US,United States of America,AMRO,33594,46812866,218,760492
2021-11-17,US,United States of America,AMRO,133501,46946367,1076,761568
2021-11-18,US,United States of America,AMRO,98241,47044608,1455,763023
2021-11-19,US,United States of America,AMRO,105168,47149776,1447,764470
2021-11-20,US,United States of America,AMRO,123738,47273514,3865,768335
2021-11-21,US,United States of America,AMRO,113705,47387219,1669,770004
2021-11-22,US,United States of America,AMRO,46204,47433423,374,770378
2021-11-23,US,United States of America,AMRO,38753,47472176,177,770555
2021-11-24,US,United States of America,AMRO,145322,47617498,1172,771727
2021-11-25,US,United States of America,AMRO,101010,47718508,1559,773286
2021-11-26,US,United States of America,AMRO,106782,47825290,1369,774655
2021-11-27,US,United States of America,AMRO,72215,47897505,466,775121
2021-11-28,US,United States of America,AMRO,81629,47979134,565,775686
2021-11-29,US,United States of America,AMRO,51799,48030933,214,775900
2021-11-30,US,United States of America,AMRO,56536,48087469,193,776093
2021-12-01,US,United States of America,AMRO,94241,48181710,1668,777761
2021-12-02,US,United States of America,AMRO,121200,48302910,1615,779376
2021-12-03,US,United States of America,AMRO,133135,48436045,1718,781094
2021-12-04,US,United States of America,AMRO,143997,48580042,1245,782339
2021-12-05,US,United States of America,AMRO,151602,48731644,1639,783978
2021-12-06,US,United States of America,AMRO,67367,48799011,572,784550
2021-12-07,US,United States of America,AMRO,55324,48854335,281,784831
2021-12-08,US,United States of America,AMRO,183667,49038002,1304,786135
2021-12-09,US,United States of America,AMRO,126167,49164169,1845,787980
2021-12-10,US,United States of America,AMRO,129941,49294110,1470,789450
2021-12-11,US,United States of America,AMRO,137198,49431308,1158,790608
2021-12-12,US,United States of America,AMRO,134220,49565528,1978,792586
2021-12-13,US,United States of America,AMRO,63971,49629499,490,793076
2021-12-14,US,United States of America,AMRO,58108,49687607,306,793382
2021-12-15,US,United States of America,AMRO,186615,49874222,1313,794695
2021-12-16,US,United States of America,AMRO,126163,50000385,1907,796602
2021-12-17,US,United States of America,AMRO,147025,50147410,1896,798498
2021-12-18,US,United States of America,AMRO,162443,50309853,1113,799611
2021-12-19,US,United States of America,AMRO,160769,50470622,2066,801677
2021-12-20,US,United States of America,AMRO,87585,50558207,591,802268
2021-12-21,US,United States of America,AMRO,102210,50660417,286,802554
2021-12-22,US,United States of America,AMRO,263131,50923548,1446,804000
2021-12-23,US,United States of America,AMRO,204848,51128396,2270,806270
2021-12-24,US,United States of America,AMRO,238382,51366778,1838,808108
2021-12-25,US,United States of America,AMRO,281102,51647880,3180,811288
2021-12-26,US,United States of America,AMRO,241290,51889170,1355,812643
2021-12-27,US,United States of America,AMRO,115799,52004969,262,812905
2021-12-28,US,United States of America,AMRO,211290,52216259,266,813171
2021-12-29,US,United States of America,AMRO,463327,52679586,1948,815119
2021-12-30,US,United States of America,AMRO,394170,53073756,2182,817301
2021-12-31,US,United States of America,AMRO,475674,53549430,1810,819111
